h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
-0.113894,0.001802,0.057921,-0.113894,0.001802,0.057921,1.002371,-0.940381,2.323597,-0.113894,0.001802,0.057921,1.002371,-0.940381,2.323597,1.002371,-0.940381,2.323597,0.000000,0.000000,1.024630,-0.943900,2.332315,1.024630,-0.943900,2.332315,0.000000,76
0.121043,-0.019130,0.047386,0.121043,-0.019130,0.047386,1.006406,-0.941019,2.325177,0.121043,-0.019130,0.047386,1.006406,-0.941019,2.325177,1.006406,-0.941019,2.325177,0.000000,0.000000,1.017596,-0.937546,2.315728,1.017596,-0.937546,2.315728,0.000000,77
0.060854,0.018883,-0.051391,0.060854,0.018883,-0.051398,1.008434,-0.940389,2.323464,0.060854,0.018883,-0.051391,1.008434,-0.940389,2.323464,1.008434,-0.940389,2.323464,0.000000,0.051398,1.005534,-0.945549,2.349142,1.005534,-0.945549,2.349142,0.000000,78
-0.015771,-0.028052,0.139661,-0.015771,-0.028052,0.139661,1.007909,-0.941324,2.328119,-0.015771,-0.028052,0.139661,1.007909,-0.941324,2.328119,1.007909,-0.941324,2.328119,0.000000,-0.139661,0.997487,-0.937390,2.315728,0.997487,-0.937390,2.315728,0.000000,79
-0.056680,0.021392,-0.067406,-0.056680,0.021392,-0.067399,1.006019,-0.940611,2.325872,-0.056680,0.021392,-0.067406,1.006019,-0.940611,2.325872,1.006019,-0.940611,2.325872,0.000000,0.000000,1.015990,-0.938986,2.315728,1.015990,-0.938986,2.315728,0.000000,80
0.054216,0.008837,-0.055161,0.054216,0.008837,-0.055161,1.007826,-0.940317,2.324034,0.054216,0.008837,-0.055161,1.007826,-0.940317,2.324034,1.007826,-0.940317,2.324034,0.000000,0.000000,1.019605,-0.939728,2.315728,1.019605,-0.939728,2.315728,0.000000,81
0.064051,0.003204,-0.045176,0.064051,0.003204,-0.045176,1.009961,-0.940210,2.322528,0.064051,0.003204,-0.045176,1.009961,-0.940210,2.322528,1.009961,-0.940210,2.322528,0.000000,0.000000,1.008590,-0.938712,2.315728,1.008590,-0.938712,2.315728,0.000000,82
-0.007449,0.008145,-0.036979,-0.007449,0.008145,-0.036979,1.009713,-0.939938,2.321295,-0.007449,0.008145,-0.036979,1.009713,-0.939938,2.321295,1.009713,-0.939938,2.321295,0.000000,0.000000,1.005505,-0.938759,2.315728,1.005505,-0.938759,2.315728,0.000000,83
-0.022881,0.006412,-0.030270,-0.022881,0.006412,-0.030270,1.008950,-0.939725,2.320286,-0.022881,0.006412,-0.030270,1.008950,-0.939725,2.320286,1.008950,-0.939725,2.320286,0.000000,0.000000,1.008277,-0.937029,2.315728,1.008277,-0.937029,2.315728,0.000000,84
-0.003673,0.014670,-0.024805,-0.003673,0.014670,-0.024805,1.008828,-0.939236,2.319459,-0.003673,0.014670,-0.024805,1.008828,-0.939236,2.319459,1.008828,-0.939236,2.319459,0.000000,0.000000,1.013043,-0.938808,2.315728,1.013043,-0.938808,2.315728,0.000000,85
